address,area,rooms,bathrooms,garages,amenities,price,condo,neighborhood
"Carvoeira, Florianópolis - SC",35,1,1,1.0,"Elevador
Salão de festas
Jardim
Interfone
Sala de jantar",1750.0,450, SC
"Itacorubi, Florianópolis - SC",57,2,2,1.0,"Salão de festas
Academia
Espaço gourmet
Segurança 24h
Interfone",2300.0,437, SC
"Ingleses do Rio Vermelho, Florianópolis - SC",55,2,1,1.0,nan,1200.0,80, SC
"Jurerê, Florianópolis - SC",91,3,2,2.0,"Mobiliado
Piscina
Área de serviço
Salão de festas
Varanda",5000.0,790, SC
"Servidão Sargento Maurilio Gonçalves Cabral - Ingleses do Rio Vermelho, Florianópolis - SC",60,1,1,0.0,Cozinha,700.0,0, Ingleses do Rio Vermelho
"Itacorubi, Florianópolis - SC",86,3,2,1.0,"Mobiliado
Elevador
Piscina
Salão de festas
Playground",2000.0,500, SC
"Rua Europa - Trindade, Florianópolis - SC",64,3,1,0.0,nan,1500.0,352, Trindade
"Rua Ambrósio Marques da Rosa, 338 - Ingleses do Rio Vermelho, Florianópolis - SC",70,2,1,1.0,"Área de serviço
Aquecimento
Próximo a transporte público
Garagem
Cozinha",1000.0,100, Ingleses do Rio Vermelho
"Córrego Grande, Florianópolis - SC",90,3,3,1.0,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",3550.0,665, SC
"Itacorubi, Florianópolis - SC",65,1,1,1.0,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",2000.0,600, SC
