address,area,rooms,bathrooms,garages,amenities,price,condo,neighborhood,zona
"Rua Felipe Schmidt, 1102 - Centro, Florianópolis - SC",46,1,1,1.0,"Mobiliado
Elevador
Piscina
Varanda
Academia",3000.0,0, Centro,Central
"Centro, Florianópolis - SC",119,2,3,2.0,"Piscina
Área de serviço
Churrasqueira
Varanda
Ar-condicionado",2850.0,980, SC,Central
"Pantanal, Florianópolis - SC",25,1,1,0.0,"Mobiliado
Área de serviço
Jardim
Lavanderia
Mais de um andar",1250.0,100, SC,Central
"Rua João Pio Duarte Silva, 1537 - Córrego Grande, Florianópolis - SC",91,3,3,2.0,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",3400.0,700, Córrego Grande,Central
"Avenida Madre Benvenuta - Santa Mônica, Florianópolis - SC",82,3,2,2.0,"Mobiliado
Área de serviço
Salão de festas
Playground
Academia",3100.0,630, Santa Mônica,Central
"Avenida Rio Branco, 349 - Centro, Florianópolis - SC",75,2,2,1.0,"Área de serviço
Interfone",1480.0,442, Centro,Central
"Rua Felipe Schmidt, 835 - Centro, Florianópolis - SC",68,2,2,1.0,"Elevador
Área de serviço
Varanda
Cozinha",3800.0,603, Centro,Central
"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",40,2,1,0.0,,1300.0,350, Pantanal,Central
"Centro, Florianópolis - SC",81,2,2,2.0,,6500.0,826, SC,Central
"Rua Felipe Schmidt, 652 - Centro, Florianópolis - SC",33,1,1,0.0,"Mobiliado
Elevador
Ar-condicionado
Recepção
Interfone",1050.0,295, Centro,Central
"Rua Almirante Dorval Melchíades de Souza - Centro, Florianópolis - SC",109,3,3,2.0,Elevador,2800.0,1100, Centro,Central
"Rua Patrício Farias - Itacorubi, Florianópolis - SC",58,2,2,1.0,"Elevador
Armário na cozinha
Closet",2950.0,465, Itacorubi,Central
"Rua Visconde de Ouro Preto - Centro, Florianópolis - SC",46,2,1,1.0,,1700.0,486, Centro,Central
"Rua Frei Caneca - Centro, Florianópolis - SC",81,3,1,0.0,"Área de serviço
Ar-condicionado
Armário embutido
Sala de jantar",1980.0,476, Centro,Central
"Rua Arlindo Félix, 85 - Pantanal, Florianópolis - SC",38,1,1,1.0,,1250.0,0, Pantanal,Central
"Agronômica, Florianópolis - SC",39,1,1,1.0,,2650.0,474, SC,Central
"Rua João Pio Duarte Silva - Córrego Grande, Florianópolis - SC",117,3,3,1.0,Elevador,2200.0,780, Córrego Grande,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",62,2,1,1.0,,1600.0,474, Carvoeira,Central
"Avenida Governador Irineu Bornhausen - Agronômica, Florianópolis - SC",149,3,3,2.0,Elevador,4500.0,1460, Agronômica,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",52,2,1,1.0,,1400.0,390, Trindade,Central
"Rua Deputado Antônio Edu Vieira, 93 - Pantanal, Florianópolis - SC",73,2,2,1.0,"Elevador
Área de serviço
Varanda
Circuito de segurança
Vigia",1400.0,850, Pantanal,Central
"Rua João Motta Espezim, 859 - Saco dos Limões, Florianópolis - SC",65,2,2,1.0,"Mobiliado
Quadra poliesportiva
Circuito de segurança
Garagem
Cozinha",1400.0,453, Saco dos Limões,Central
"Rua Pedro Vieira Vidal, 280 - Pantanal, Florianópolis - SC",88,3,3,2.0,"Mobiliado
Elevador
Piscina
Área de serviço
Salão de festas",4500.0,595, Pantanal,Central
"Centro, Florianópolis - SC",53,1,2,1.0,,4000.0,671, SC,Central
"Rua Trajano Margarida - Trindade, Florianópolis - SC",62,2,1,1.0,,1100.0,653, Trindade,Central
"Rua São Francisco - Centro, Florianópolis - SC",70,2,2,0.0,Elevador,2500.0,0, Centro,Central
"Centro, Florianópolis - SC",55,1,1,1.0,"Mobiliado
Salão de festas
Ar-condicionado
Interfone
Armário embutido",1550.0,400, SC,Central
"Rua Capitão Romualdo de Barros, 850 - Carvoeira, Florianópolis - SC",80,2,1,2.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Playground",2700.0,570, Carvoeira,Central
"Rua Martinho Calado - Centro, Florianópolis - SC",79,3,2,3.0,Elevador,3500.0,949, Centro,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",80,3,2,1.0,,1450.0,600, Carvoeira,Central
"Rua Corália Ferreira da Luz - Centro, Florianópolis - SC",33,1,1,0.0,"Elevador
Ar-condicionado
Circuito de segurança
Lavanderia
Conexão à internet",1700.0,0, Centro,Central
"Avenida Hercílio Luz - Centro, Florianópolis - SC",43,1,1,0.0,"Elevador
Salão de festas
Playground
Armário na cozinha",1280.0,328, Centro,Central
"Rua Vera Linhares de Andrade - Córrego Grande, Florianópolis - SC",60,2,2,2.0,"Área de serviço
Salão de festas
Academia
Interfone
Sala de jantar",2400.0,500, Córrego Grande,Central
"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",56,2,1,1.0,Elevador,1750.0,425, Itacorubi,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",62,2,1,1.0,,1500.0,364, Carvoeira,Central
"Rua Capitão Romualdo de Barros - Carvoeira, Florianópolis - SC",60,2,1,1.0,"Mobiliado
Ar-condicionado
Interfone
Armário na cozinha",1900.0,553, Carvoeira,Central
"Avenida Hercílio Luz - Centro, Florianópolis - SC",82,2,2,1.0,Elevador,2100.0,780, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",119,3,2,1.0,,2300.0,654, Trindade,Central
"Monte Verde, Florianópolis - SC",81,2,2,1.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",2300.0,510, SC,Central
"Rua Mediterrâneo - Córrego Grande, Florianópolis - SC",63,2,1,1.0,Elevador,1700.0,444, Córrego Grande,Central
"Centro, Florianópolis - SC",87,2,2,1.0,Elevador,2100.0,835, SC,Central
"Rua Edison Areas - Trindade, Florianópolis - SC",66,2,2,1.0,"Elevador
Playground
Varanda
Circuito de segurança
Conexão à internet",2300.0,218, Trindade,Central
"Servidão Santíssima Trindade - Trindade, Florianópolis - SC",77,3,2,1.0,,1950.0,417, Trindade,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",76,2,3,2.0,"Elevador
Piscina",3250.0,560, Trindade,Central
"Centro, Florianópolis - SC",102,3,2,2.0,"Elevador
Varanda
Condomínio fechado
Cozinha
Garagem",2400.0,385, SC,Central
